,Condition,Medication,Alternate names,More common,Less common
0,ADHD,Methylphenidate ,"Methylin, Ritalin, Concerta",Headache; loss of appetite; nervousness; stomach pain; stuffy nose; trouble sleeping; unusually warm skin; ,"Anger; decreased appetite; dizziness; drowsiness; fear; irritability; muscle aches; nausea; runny nose; hair loss; talking, feeling, and acting with excitement; vomiting; "
2,ADHD,Daytrana,,Headache; loss of appetite; nervousness; stomach pain; stuffy nose; trouble sleeping; unusually warm skin; ,"Anger; decreased appetite; dizziness; drowsiness; fear; irritability; muscle aches; nausea; runny nose; hair loss; talking, feeling, and acting with excitement; vomiting; "
3,ADHD,Dexmethylphenidate ,"Focalin XR, SR Focalin","Acid or sour stomach; belching; heartburn; indigestion; loss of appetite; nausea; stomach discomfort, upset, or pain; throat pain; weight loss; ",Twitching; 
4,ADHD,Dextroamphetamine ,"Dexedrine, Dextrostat, Spansule",,
5,ADHD,Amphetamine ,"Adderall, Adderall XR",Dry mouth; loss of appetite; sore throat; stomach ache; voice changes; weight loss; ,"Belching; dizziness; heartburn; indigestion; stomach discomfort, upset, or pain; "
6,ADHD,Lisdexamfetemine,"Vyvanse, Dimesylate","Acid or sour stomach; belching; bleeding between periods; change in amount of bleeding during periods; change in pattern of monthly periods; cough; decrease in the frequency of urination; decrease in urine amount; decreased appetite; decreased interest in sexual intercourse; difficulty having a bowel movement (stool); difficulty in passing urine (dribbling); dizziness; dry mouth; fever; headache; heartburn; heavy bleeding; inability to have or keep an erection; indigestion; irritability; loss in sexual ability, desire, drive, or performance; nausea; pain or tenderness around the eyes and cheekbones; painful urination; shortness of breath; sleepiness or unusual drowsiness; stomach discomfort, upset, cramps, or pain; runny nose; tightness of the chest; trouble sleeping; unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness; unusual stopping of menstrual bleeding; unusual tiredness or weakness; vomiting; ","Abnormal dreams; abnormal orgasm; back pain; blistering, crusting, irritation, itching, or reddening of the skin; bloated or full feeling; numbness; change in hearing; change or problem with discharge of semen; chills; cold sweats; confusion; cough; cracked, dry, or scaly skin; crying; decreased weight; diarrhea; difficulty with moving; dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position; ear drainage; earache or pain in the ear; excess air or gas in the stomach or intestines; feeling of warmth, redness of the face, neck, arms, and occasionally, upper chest; feeling unusually cold; frequent urination; general feeling of discomfort or illness; groin pain; increased or sudden sweating; joint pain; loss of appetite; mood swings; muscle aches, cramping, pains, or stiffness; pain or burning with urination; passing gas; shivering; sinus headache; sleep disorder; swelling of the skin; swollen joints; swollen, tender prostate; "
7,ADHD,Atomoxetine ,Strattera,"Acid or sour stomach; belching; bleeding between periods; change in amount of bleeding during periods; change in pattern of monthly periods; cough; decrease in the frequency of urination; decrease in urine amount; decreased appetite; decreased interest in sexual intercourse; difficulty having a bowel movement (stool); difficulty in passing urine (dribbling); dizziness; dry mouth; fever; headache; heartburn; heavy bleeding; inability to have or keep an erection; indigestion; irritability; loss in sexual ability, desire, drive, or performance; nausea; pain or tenderness around the eyes and cheekbones; painful urination; shortness of breath; sleepiness or unusual drowsiness; stomach discomfort, upset, cramps, or pain; runny nose; tightness of the chest; trouble sleeping; unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness; unusual stopping of menstrual bleeding; unusual tiredness or weakness; vomiting; ","Abnormal dreams; abnormal orgasm; back pain; blistering, crusting, irritation, itching, or reddening of the skin; bloated or full feeling; numbness; change in hearing; change or problem with discharge of semen; chills; cold sweats; confusion; cough; cracked, dry, or scaly skin; crying; decreased weight; diarrhea; difficulty with moving; dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position; ear drainage; earache or pain in the ear; excess air or gas in the stomach or intestines; feeling of warmth, redness of the face, neck, arms, and occasionally, upper chest; feeling unusually cold; frequent urination; general feeling of discomfort or illness; groin pain; increased or sudden sweating; joint pain; loss of appetite; mood swings; muscle aches, cramping, pains, or stiffness; pain or burning with urination; passing gas; shivering; sinus headache; sleep disorder; swelling of the skin; swollen joints; swollen, tender prostate; "
8,ADHD,Guanfacine ,Intuniv,Constipation; dizziness; dryness of the mouth; nausea; sleepiness or unusual drowsiness; unusual dullness or feeling of sluggishness; upper abdominal or stomach pain; weight gain; ,"Belching; decreased appetite; decreased sexual ability; dry, itching, or burning eyes; heartburn; indigestion; lack or loss of strength; paleness of the skin; stomach discomfort, upset, or pain; trouble with sleeping; "
9,ADHD,Clonidine Hydrochloride ,Kapvay,,
10,ADHD,Nortriptyline ,"Pamelor, Aventyl",,
