,Condition,Medication,Alternate names,More common,Less common,Incidence not known,Parent links,Exact medications
0,ADHD,Methylphenidate ,"Methylin, Ritalin, Concerta",Headache; loss of appetite; nervousness; stomach pain; stuffy nose; trouble sleeping; unusually warm skin; ,"Anger; decreased appetite; dizziness; drowsiness; fear; irritability; muscle aches; nause; runny nos; hair los; talking, feeling, and acting with excitement; vomitin; ",,"['https://www.webmd.com/drugs/2/drug-12114-94/methylphenidate-hcl/details', 'https://www.webmd.com/drugs/2/drug-19735/methylphenidate-powder/details', 'https://www.webmd.com/drugs/2/drug-12114-4094/methylphenidate-hcl-cd/details', 'https://www.webmd.com/drugs/2/drug-12114-439/methylphenidate-hcl-solution/details', 'https://www.webmd.com/drugs/2/drug-12114-438/methylphenidate-hcl-tablet-chewable/details', 'https://www.webmd.com/drugs/2/drug-144064-641/methylphenidate-patch-24-hours/details', 'https://www.webmd.com/drugs/2/drug-12114-8094/methylphenidate-er-tablet/details', 'https://www.webmd.com/drugs/2/drug-12114-5094/methylphenidate-er-tablet-24-hr/details', 'https://www.webmd.com/drugs/2/drug-173889-1850/methylphenidate-tablet-disintegrating-er-biphasic-24-hr-tablet-disintegrating-er-hr/details', 'https://www.webmd.com/drugs/2/drug-12114-1516/methylphenidate-suspension-24-hr-reconstituted-suspension-er-reconstituted/details', 'https://www.webmd.com/drugs/2/drug-16869-439/methylin/details', 'https://www.webmd.com/drugs/2/drug-16869-94/methylin-tablet/details', 'https://www.webmd.com/drugs/2/drug-16869-438/methylin-tablet-chewable/details', 'https://www.webmd.com/drugs/2/drug-18319-8094/methylin-er-tablet/details', 'https://www.webmd.com/drugs/2/drug-9475-94/ritalin/details', 'https://www.webmd.com/drugs/2/drug-63748-4094/ritalin-la/details', 'https://www.webmd.com/drugs/2/drug-9767-8094/ritalin-sr/details']","['methylphenidate HCL', 'methylphenidate powder', 'methylphenidate HCL CD', 'methylphenidate HCL Solution', 'methylphenidate HCL Tablet, Chewable', 'methylphenidate Patch, Transdermal 24 Hours', 'methylphenidate ER tablet, extended release', 'methylphenidate ER Tablet, Extended Release 24 hr', 'methylphenidate 8.6 mg ER,IR disintegrating 24 hr tablet', 'methylphenidate Suspension, Extended Release 24 hr, Reconstituted (Suspension, ER Reconstituted)', 'Methylin', 'Methylin tablet', 'Methylin 2.5 mg chewable tablet', 'Methylin ER tablet, extended release', 'Ritalin', 'Ritalin LA', 'RITALIN-SR']"
1,ADHD,Daytrana transdermal,,Headache; loss of appetite; nervousness; stomach pain; stuffy nose; trouble sleeping; unusually warm skin; ,"Anger; decreased appetite; dizziness; drowsiness; fear; irritability; muscle aches; nause; runny nos; hair los; talking, feeling, and acting with excitement; vomitin; ",,"['https://www.webmd.com/drugs/2/drug-144192-641/daytrana-patch-24-hours/details', 'https://www.webmd.com/drugs/2/drug-14725-7048/ntg-patch-24-hours/details', 'https://www.webmd.com/drugs/2/drug-32968-3027/estradiol-patch-patch-weekly/details', 'https://www.webmd.com/drugs/2/drug-53551-7048/nitro-patch-24-hours/details', 'https://www.webmd.com/drugs/2/drug-149914/plo-transdermal-cream/details', 'https://www.webmd.com/drugs/2/drug-1611-4116/testosterone-system/details', 'https://www.webmd.com/drugs/2/drug-167482/apothederm-transdermal-cream/details', 'https://www.webmd.com/drugs/2/drug-53556-7048/nitro-patch-24-hours/details', 'https://www.webmd.com/drugs/2/drug-1312-3027/estradiol-patch-weekly/details', 'https://www.webmd.com/drugs/2/drug-1312-9027/estradiol-patch-semiweekly/details']","['Daytrana Patch, Transdermal 24 Hours', 'Transdermal-NTG Patch, Transdermal 24 Hours', 'Estradiol Transdermal Patch Patch, Weekly', 'Nitro Transdermal Patch, 24 Hours', 'PLO Transdermal Cream', 'testosterone transdermal system', 'Apothederm Transdermal Cream', 'Nitro-Transdermal Patch, Transdermal 24 Hours', 'estradiol Patch, Transdermal Weekly', 'estradiol Patch, Transdermal Semiweekly']"
2,ADHD,Dexmethylphenidate ,"Focalin XR, SR Focalin","Acid or sour stomach; belchin; heartbur; indigestio; loss of appetite; nause; stomach discomfort, upset, or pain; throat pain; weight los; ",Twitching; ,,"['https://www.webmd.com/drugs/2/drug-22251-2094/dexmethylphenidate-hcl/details', 'https://www.webmd.com/drugs/2/drug-22251-506/dexmethylphenidate-hcl-er/details']","['dexmethylphenidate HCL', 'dexmethylphenidate HCL ER']"
3,ADHD,Dextroamphetamine ,"Dexedrine, Dextrostat, Spansule",,,"Bad, unusual, or unpleasant (after) taste; change in taste; constipatio; decreased interest in sexual intercourse; dry mouth; hives</a or <a data-ga-action=""welts"" data-ga-category=""Content Link"" href=""/cg/angioedema.html""welts; inability to have or keep an erection; indigestio; loss in sexual ability, desire, drive, or performance; passing of gas; redness of the skin; weight los; ","['https://www.webmd.com/drugs/2/drug-3670-6080/dextroamphetamine-amphetamine/details', 'https://www.webmd.com/drugs/2/drug-1636-9080/dextroamphetamine-sulfate/details', 'https://www.webmd.com/drugs/2/drug-3670-9323/dextroamphetamine-amphet-er/details', 'https://www.webmd.com/drugs/2/drug-1636-7080/dextroamphetamine-sulfate-er/details', 'https://www.webmd.com/drugs/2/drug-78322/dextroamphetamine-bulk-powder/details', 'https://www.webmd.com/drugs/2/drug-11574-9080/dexedrine/details', 'https://www.webmd.com/drugs/2/drug-89051-7080/dexedrine/details', 'https://www.webmd.com/drugs/2/drug-89051-7080/dexedrine/details']","['dextroamphetamine-amphetamine', 'dextroamphetamine SULFATE', 'DEXTROAMPHETAMINE-AMPHET ER', 'dextroamphetamine SULFATE ER', 'dextroamphetamine (bulk) 100 % powder', 'Dexedrine 5 mg tablet', 'Dexedrine capsule, extended release', 'Dexedrine capsule, extended release']"
4,ADHD,Amphetamine ,"Adderall, Adderall XR",Dry mouth; loss of appetite; sore throa; stomach ache; voice changes; weight los; ,"Belchin; dizziness; heartbur; indigestio; stomach discomfort, upset, or pain; ","Decreased interest in sexual intercourse; difficulty having a bowel movement; hives</a or <a data-ga-action=""welts"" data-ga-category=""Content Link"" href=""/cg/angioedema.html""welts; inability to have or keep an erection; loss in sexual ability, desire, drive, or performance; redness of the skin; unpleasant taste; ","['https://www.webmd.com/drugs/2/drug-167647-1644/amphetamine-sulfate-tablet/details', 'https://www.webmd.com/drugs/2/drug-3670-6080/dextroamphetamine-amphetamine/details', 'https://www.webmd.com/drugs/2/drug-167647-2060/amphetamine-sulfate-tablet-disintegrating/details', 'https://www.webmd.com/drugs/2/drug-170275-1745/amphetamine-suspension-immediate-release-and-er-biphasic-24hr-suspension-immed-ext-rel-biphasic-24hr/details', 'https://www.webmd.com/drugs/2/drug-170275-1753/amphetamine-tablet-disintegrating-er-biphasic-24-hr-tablet-disintegrating-er-hr/details', 'https://www.webmd.com/drugs/2/drug-63163-6080/adderall/details', 'https://www.webmd.com/drugs/2/drug-63164-9323/adderall-xr/details']","['amphetamine sulfate', 'dextroamphetamine-amphetamine', 'amphetamine sulfate 20 mg disintegrating tablet', 'amphetamine ER 1.25 mg/mL oral 24 hr extended-release suspension Pressors', 'amphetamine Tablet,disintegrating,extended release biphasic 24 hr (Tablet,disintegrating,ER hr)', 'Adderall', 'Adderall XR']"
5,ADHD,Lisdexamfetemine,"Vyvanse, Dimesylate",Decreased appetite; headach; nause; upper abdominal or stomach pain; vomitin; weight decreased; ,Crying; depersonalization; dry mouth; dysphoria; euphoria; paranoia; quick to react or overreact emotionally; rapidly changing moods; sleepiness or unusual drowsiness; ,,,
6,ADHD,Atomoxetine ,Strattera,"Acid or sour stomach; belchin; bleeding between periods; change in amount of bleeding during periods; change in pattern of monthly periods; cough; decrease in the frequency of urination; decrease in urine amount; decreased appetite; decreased interest in sexual intercourse; difficulty having a bowel movement (stool); difficulty in passing urine (dribbling); dizzines; dry mouth; fever; headach; heartbur; heavy bleeding; inability to have or keep an erection; indigestio; irritability; loss in sexual ability, desire, drive, or performance; nause; pain or tenderness around the eyes and cheekbones; painful urination; shortness of breath; sleepiness or unusual drowsiness; stomach discomfort, upset, cramps, or pain; runny nos; tightness of the chest; trouble sleeping; unusual drowsiness, dullness, tiredness, weakness, or feeling of sluggishness; unusual stopping of menstrual bleeding; unusual tiredness or weakness; vomitin; ","Abnormal dreams; abnormal orgasm; back pai; blistering, crusting, irritation, itching, or reddening of the skin; bloated or full feeling; numbnes; change in hearing; change or problem with discharge of semen; chills; cold sweats; confusion; cough; cracked, dry, or scaly skin; crying; decreased weight; diarrhe; difficulty with moving; dizziness, faintness, or lightheadedness when getting up suddenly from a lying or sitting position; ear drainage; earache or pain in the ear; excess air or gas in the stomach or intestines; feeling of warmth, redness of the face, neck, arms, and occasionally, upper chest; feeling unusually cold; frequent urinatio; general feeling of discomfort or illness; groin pain; increased or sudden sweating; joint pain; loss of appetite; mood swings; muscle aches, cramping, pains, or stiffness; pain or burning with urination; passing gas; shivering; sinus headache; sleep disorder; swelling of the skin; swollen joints; swollen, tender prostate; ",,,
7,ADHD,Guanfacine ,Intuniv,Constipatio; dizziness; dryness of the mouth; nause; sleepiness or unusual drowsiness; unusual dullness or feeling of sluggishness; upper abdominal or stomach pain; weight gain; ,"Belchin; decreased appetite; decreased sexual ability; dry, itching, or burning eyes; heartbur; indigestio; lack or loss of strength; paleness of the skin; stomach discomfort, upset, or pain; trouble with sleeping; ","Change in taste; decreased interest in sexual intercourse; difficulty in moving; general feeling of discomfort or illness; hair los; inability to have or keep an erection; joint pain or swelling; leg cramp or pain; loss in sexual ability, desire, drive, or performance; muscle ache, cramp, pain, or stiffness; seeing or hearing things that are not there; ","['https://www.webmd.com/drugs/2/drug-5481-8024/guanfacine-hcl/details', 'https://www.webmd.com/drugs/2/drug-5481-1255/guanfacine-hcl-er/details', 'https://www.webmd.com/drugs/2/drug-91644/guanfacine-bulk-powder/details']","['guanfacine HCL', 'guanfacine HCL ER', 'guanfacine (bulk) 100 % powder']"
8,ADHD,Clonidine Hydrochloride ,Kapvay,Constipatio; ,"Darkening of the skin; decreased sexual ability; dry, itching, or burning eyes; loss of appetite; nausea; ",,"['https://www.webmd.com/drugs/2/drug-11754-24/clonidine-hcl/details', 'https://www.webmd.com/drugs/2/drug-91415/clonidine-hcl-solution/details', 'https://www.webmd.com/drugs/2/drug-2228/clonidine-chlorthalidone-tablet/details', 'https://www.webmd.com/drugs/2/drug-6716-9024/clonidine-patch-weekly/details', 'https://www.webmd.com/drugs/2/drug-78479/clonidine-hcl-bulk-powder/details', 'https://www.webmd.com/drugs/2/drug-11754-1378/clonidine-hcl-er/details', 'https://www.webmd.com/drugs/2/drug-151108-2059/clonidine-hcl-vial/details', 'https://www.webmd.com/drugs/2/drug-177637/ropivacaine-clonidine-ketorolc-syringe/details', 'https://www.webmd.com/drugs/2/drug-91289/tramadol-hydrochloride-bulk-100-powder/details', 'https://www.webmd.com/drugs/2/drug-60096/glutamic-acid-hydrochloride-powder/details', 'https://www.webmd.com/drugs/2/drug-155086-1378/kapvay/details', 'https://www.webmd.com/drugs/2/drug-162073-1378/kapvay-dose-pack-tablet-er-tablet-pack/details']","['clonidine HCl', 'clonidine HCl Solution', 'clonidine-chlorthalidone tablet', 'clonidine Patch, Transdermal Weekly', 'clonidine HCl (bulk) powder', 'clonidine HCl ER', 'clonidine (PF) 1,000 mcg/10 mL (100 mcg/mL) epidural solution Central Adrenolytics', 'ropivacaine 123 mg-clonidine 0.04 mg-ketor 15 mg/50 mL periart syringe Local Anesthetics - Parenteral', 'tramadol hydrochloride (bulk) 100 % powder', 'Glutamic Acid Hydrochloride powder', 'Kapvay', 'Kapvay Dose Pack Tablet, Extended Release, (Tablet, ER, Pack)']"
9,ADHD,Nortriptyline ,"Pamelor, Aventyl",,,"Bigger, dilated, or enlarged pupils (black part of the eye); black tongue; decreased interest in sexual ability or desire; difficulty having a bowel movement (stool); enlargement of the breast; hair los; heartbur; hives; increase in sexual ability or desire; increased sensitivity of the eyes or skin to light; pain or discomfort in the chest, upper stomach, or throat; peculiar taste; severe sunburn; small red or purple spots on the skin; swelling of the testicles; swelling or inflammation of the mouth; swollen, painful, or tender lymph glands on side of face or neck; vision changes; waking to urinate at night; ","['https://www.webmd.com/drugs/2/drug-10710-679/nortriptyline-hcl/details', 'https://www.webmd.com/drugs/2/drug-78513/nortriptyline-bulk-powder/details']","['nortriptyline HCL', 'nortriptyline (bulk) powder']"
